"entrez";"symbol";"pubmed_id";"type";"organ_system";"primary_site";"cancer_type";"method";"coding_status";"cgc_annotation";"vogelstein_annotation";"saito_annotation";"NCG_oncogene";"NCG_tsg";"driver_type";"drivers_id"
1457;"CSNK2A1";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";1022
1029;"CDKN2A";22561517;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1023
1029;"CDKN2A";28467829;"WGS";"Skin";"skin";"melanoma";"MutSigCV, OncodriveFML";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1024
1050;"CEBPA";27063598;"WES-Gene Panel";"Hematologic and lymphatic";"blood";"acute_promyelocytic_leukemia";"Recurrence-based";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1025
1499;"CTNNB1";32139151;"WES";"Gynecologic";"ovary";"endometrioid_ovarian_cancer";"MutSigCV";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1026
1499;"CTNNB1";25743702;"WGS-WES";"Endocrine";"adrenal_gland";"adrenocortical_carcinoma";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1027
1050;"CEBPA";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1028
1460;"CSNK2B";26437031;"WGS-WES-Gene Panel";"Hematologic and lymphatic";"blood";"T-cell_leukemia/lymphoma";"MutSig";"coding";"";"";"";"";"";"cancer";1029
1499;"CTNNB1";22820256;"WES";"Soft tissue";"brain";"medulloblastoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1030
1050;"CEBPA";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"TSG";"";"0.0";"1.0";"cancer";1031
1460;"CSNK2B";22820256;"WES";"Soft tissue";"brain";"medulloblastoma";"MutSig";"coding";"";"";"";"";"";"cancer";1032
1029;"CDKN2A";22817889;"WES";"Skin";"skin";"melanoma";"InVEx";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1033
1063;"CENPF";28452984;"WES";"Hematologic and lymphatic";"blood";"chronic_myeloid_leukemia";"Recurrence-based, Literature-based";"coding";"";"";"";"";"";"cancer";1034
1499;"CTNNB1";28658208;"WES";"Gynecologic";"breast";"breast_cancer";"MutSigNC";"noncoding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1035
1029;"CDKN2A";23334668;"WGS-WES";"Hematologic and lymphatic";"blood";"acute_lymphocytic_leukemia";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1036
1104;"RCC1";31954095;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS";"noncoding";"";"";"";"";"";"cancer";1037
1499;"CTNNB1";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1038
1105;"CHD1";26000489;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";1039
1499;"CTNNB1";22722829;"WGS";"Soft tissue";"brain";"medulloblastoma";"MuSiC";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1040
1029;"CDKN2A";26790612;"WES";"Head and neck";"head_and_neck";"squamous_head_and_neck_cancer";"MuSiC";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1041
1499;"CTNNB1";26000489;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1042
1029;"CDKN2A";18772397;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_ductal_adenocarcinoma";"Wood-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1043
1499;"CTNNB1";32494066;"Canonical Cancer Driver";"Multiple";"multiple";"";"";"";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1044
1106;"CHD2";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"";"";"0.0";"1.0";"cancer";1045
1462;"VCAN";27687306;"WES";"Thoracic";"lung";"lung_adenocarcinoma";"InVEx";"coding";"";"";"";"";"";"cancer";1046
1499;"CTNNB1";25822088;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1047
1106;"CHD2";23415222;"WES";"Hematologic and lymphatic";"blood";"chronic_lymphocytic_leukemia";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";1048
1462;"VCAN";26648538;"WGS-Gene Panel";"Hematologic and lymphatic";"blood";"chronic_myelomonocytic_leukemia";"Recurrence-based";"coding";"";"";"";"";"";"cancer";1049
1499;"CTNNB1";26544944;"WGS-WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1050
1029;"CDKN2A";20668451;"Gene Panel";"Thoracic";"lung";"lung_cancer_(all_histologies)";"Wood-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1051
1464;"CSPG4";28452984;"WES";"Hematologic and lymphatic";"blood";"chronic_myeloid_leukemia";"Recurrence-based, Literature-based";"coding";"";"";"";"";"";"cancer";1052
1499;"CTNNB1";28622513;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1053
1495;"CTNNA1";27161491;"Gene Panel";"Gynecologic";"breast";"breast_cancer";"Recurrence-based";"coding";"";"";"";"";"";"cancer";1054
1499;"CTNNB1";25362482;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1055
1499;"CTNNB1";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1056
1029;"CDKN2A";24132290;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MuSiC";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1057
1106;"CHD2";26466571;"WES";"Hematologic and lymphatic";"blood";"chronic_lymphocytic_leukemia";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";1058
1499;"CTNNB1";22037554;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Wood-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1059
1106;"CHD2";22158541;"WES";"Hematologic and lymphatic";"blood";"chronic_lymphocytic_leukemia";"Recurrence-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";1060
1029;"CDKN2A";26437031;"WGS-WES-Gene Panel";"Hematologic and lymphatic";"blood";"T-cell_leukemia/lymphoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1061
1499;"CTNNB1";26939876;"Gene Panel";"Gynecologic";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1062
1106;"CHD2";23583981;"WGS-WES";"Soft tissue";"brain";"paediatric_low_grade_glioma";"MuSiC, Paper-specific";"coding";"TSG";"";"";"0.0";"1.0";"cancer";1063
1496;"CTNNA2";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"";"1.0";"0.0";"cancer";1064
1499;"CTNNB1";22158988;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_neoplastic_cysts";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1065
1499;"CTNNB1";26806338;"WES-Gene Panel";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1066
1029;"CDKN2A";26214590;"WES";"Skin";"skin";"melanoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1067
1499;"CTNNB1";26998897;"WES";"Core gastrointestinal";"small_intestine";"duodenal_adenocarcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1068
1107;"CHD3";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"";"";"";"";"";"cancer";1069
1029;"CDKN2A";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1070
1499;"CTNNB1";22484628;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1071
1107;"CHD3";25401301;"WES";"Urologic";"kidney";"non-clear_cell_renal_cancer";"Wood-based";"coding";"";"";"";"";"";"cancer";1072
1499;"CTNNB1";27505681;"WES-Gene Panel";"Endocrine";"adrenal_gland";"adrenocortical_carcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1073
1500;"CTNND1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"";"";"";"0.0";"0.0";"cancer";1074
1500;"CTNND1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"";"";"";"0.0";"0.0";"cancer";1075
1108;"CHD4";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1076
1501;"CTNND2";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"";"1.0";"0.0";"cancer";1077
1108;"CHD4";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1078
1496;"CTNNA2";18772397;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_ductal_adenocarcinoma";"Wood-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1079
1501;"CTNND2";29354286;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncDriver";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1080
1108;"CHD4";23636398;"WES";"Gynecologic";"uterus";"endometrial_cancer";"MuSiC";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1081
1496;"CTNNA2";30132154;"WES";"Core gastrointestinal";"stomach";"gastric_cancer";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1082
1520;"CTSS";26451490;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";1083
1496;"CTNNA2";24816253;"WGS";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Youn-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1084
1523;"CUX1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, TSG";"";"";"0.0";"0.0";"cancer";1085
1499;"CTNNB1";24747642;"WES";"Endocrine";"adrenal_gland";"adrenocortical_carcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1086
1523;"CUX1";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"oncogene, TSG";"";"";"0.0";"0.0";"cancer";1087
1108;"CHD4";28292439;"WES";"Gynecologic";"uterus";"uterine_carcinosarcoma";"MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1088
1523;"CUX1";26908133;"WGS-WES";"Hematologic and lymphatic";"blood";"chronic_myelomonocytic_leukemia";"DrGap";"coding";"oncogene, TSG";"";"";"0.0";"0.0";"cancer";1089
1523;"CUX1";27135926;"WGS";"Gynecologic";"breast";"breast_cancer";"Paper-specific";"coding";"oncogene, TSG";"";"";"0.0";"0.0";"cancer";1090
1524;"CX3CR1";27325650;"WES";"Urologic";"penis";"penile_squamous_cancer";"IntOGen, Literature-based";"coding";"";"";"";"";"";"cancer";1091
1108;"CHD4";30718927;"WGS-WES";"Core gastrointestinal";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1092
1525;"CXADR";29354286;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncDriver";"coding";"";"";"";"";"";"cancer";1093
1108;"CHD4";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"";"1.0";"0.0";"cancer";1094
1538;"CYLC1";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";1095
1499;"CTNNB1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1096
1108;"CHD4";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1097
1540;"CYLD";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1098
1029;"CDKN2A";25240281;"WES";"Soft tissue";"peripheral_nervous_system";"malignant_peripheral_nerve_sheath_tumour";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1099
1499;"CTNNB1";20601955;"Gene Panel";"Soft tissue";"soft_tissue";"soft_tissue_sarcoma";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1100
1108;"CHD4";27348297;"WES";"Gynecologic";"uterus";"endometrial_cancer";"MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1101
1540;"CYLD";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"TSG";"";"0.0";"1.0";"cancer";1102
1499;"CTNNB1";22981675;"Gene Panel";"Urologic";"prostate";"prostate_cancer";"Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1103
1540;"CYLD";28098136;"WGS-WES";"Head and neck";"head_and_neck";"nasopharyngeal_carcinoma";"MutSig";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1104
1499;"CTNNB1";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1105
1540;"CYLD";31444325;"WGS-WES";"Hematologic and lymphatic";"blood";"multiple_myeloma";"dNdScv";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1106
1499;"CTNNB1";24413733;"WES";"Soft tissue";"brain";"craniopharyngioma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1107
1108;"CHD4";29945994;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1108
1540;"CYLD";24974848;"WES";"Hematologic and lymphatic";"thymus";"thymic_carcinoma";"Recurrence-based";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1109
1029;"CDKN2A";28027327;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1110
1540;"CYLD";31101826;"WES";"Skin";"skin";"cylindroma, spiradenocarcinoma, spiradenoma";"IntOGen, dNdScv";"coding";"TSG";"TSG";"";"0.0";"1.0";"cancer";1111
1029;"CDKN2A";25501392;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"HOTNET2";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1112
1540;"CYLD";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"TSG";"";"0.0";"1.0";"cancer";1113
1549;"CYP2A7";29854292;"WES";"Gynecologic";"breast";"breast_cancer";"SeqSig";"coding";"";"";"";"";"";"cancer";1114
1108;"CHD4";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1115
1029;"CDKN2A";28098136;"WGS-WES";"Head and neck";"head_and_neck";"nasopharyngeal_carcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1116
1108;"CHD4";23104009;"WES";"Gynecologic";"uterus";"serous_endometrial_cancer";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1117
1499;"CTNNB1";27158780;"WES";"Thoracic";"lung";"lung_cancer_(all_histologies)";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1118
1029;"CDKN2A";24952746;"WES";"Head and neck";"head_and_neck";"nasopharyngeal_carcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1119
1108;"CHD4";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1120
1549;"CYP2A7";22158541;"WES";"Hematologic and lymphatic";"blood";"chronic_lymphocytic_leukemia";"Recurrence-based";"coding";"";"";"";"";"";"cancer";1121
1499;"CTNNB1";22810696;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1122
1108;"CHD4";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1123
1558;"CYP2C8";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"";"";"";"0.0";"0.0";"cancer";1124
1499;"CTNNB1";23636398;"WES";"Gynecologic";"uterus";"endometrial_cancer";"MuSiC";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1125
1559;"CYP2C9";21499247;"WES";"Skin";"skin";"melanoma";"Paper-specific";"coding";"";"";"";"";"";"cancer";1126
1029;"CDKN2A";24686850;"WES";"Core gastrointestinal";"esophagus";"esophageal_squamous_carcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1127
1499;"CTNNB1";25079317;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1128
1562;"CYP2C18";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";1129
1029;"CDKN2A";22327622;"Gene Panel";"Thoracic";"lung";"non-small_cell_lung_cancer";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1130
1113;"CHGA";21499247;"WES";"Skin";"skin";"melanoma";"Paper-specific";"coding";"";"";"";"";"";"cancer";1131
1571;"CYP2E1";25362482;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"";"";"";"";"";"cancer";1132
1029;"CDKN2A";29622466;"WES";"Core gastrointestinal";"pan-gastric";"pan-gastric";"MutSig2CV";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1133
1579;"CYP4A11";28467829;"WGS";"Skin";"skin";"melanoma";"OncodriveFML";"noncoding";"";"";"";"";"";"cancer";1134
1580;"CYP4B1";29622466;"WES";"Core gastrointestinal";"pan-gastric";"pan-gastric";"MutSig2CV";"coding";"";"";"";"";"";"cancer";1135
1499;"CTNNB1";26091043;"WES";"Skin";"skin";"melanoma";"InVEx, MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1136
1600;"DAB1";29354286;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncDriver";"noncoding";"";"";"";"";"";"cancer";1137
1120;"CHKB";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";1138
1602;"DACH1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"";"";"";"";"";"cancer";1139
1029;"CDKN2A";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1140
1133;"CHRM5";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";1141
1499;"CTNNB1";24700472;"WES";"Endocrine";"adrenal_gland";"adrenocortical_adenoma";"MutSig, Recurrence-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1142
1141;"CHRNB2";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"";"";"";"";"";"cancer";1143
1499;"CTNNB1";30718927;"WGS-WES";"Core gastrointestinal";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1144
1174;"AP1S1";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"";"";"";"";"";"cancer";1145
1499;"CTNNB1";22634756;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"Paper-specific";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1146
1029;"CDKN2A";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1147
1499;"CTNNB1";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1148
1602;"DACH1";22980976;"WGS";"Thoracic";"lung";"non-small_cell_lung_cancer";"MuSiC";"coding";"";"";"";"";"";"cancer";1149
1029;"CDKN2A";26258846;"WES";"Developmental gastrointestinal";"hepatobiliary";"biliary_tract_cancer";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";1150
1602;"DACH1";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";1151
1183;"CLCN4";22156295;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_ductal_adenocarcinoma";"Recurrence-based";"coding";"";"";"";"";"";"cancer";1152
1606;"DGKA";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"";"";"";"";"";"cancer";1153
1499;"CTNNB1";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1154
1607;"DGKB";27311963;"WGS";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"noncoding";"";"";"";"";"";"cancer";1155
1610;"DAO";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"";"";"";"";"";"cancer";1156
1186;"CLCN7";26824661;"WGS-WES";"Soft tissue";"brain";"pan-glioma";"MutSig";"coding";"";"";"";"";"";"cancer";1157
1616;"DAXX";24747642;"WES";"Endocrine";"adrenal_gland";"adrenocortical_carcinoma";"MutSig";"coding";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1158
1198;"CLK3";25730765;"WGS";"Hematologic and lymphatic";"blood";"acute_lymphocytic_leukemia";"Recurrence-based";"coding";"";"";"";"";"";"cancer";1159
1616;"DAXX";22237025;"WGS";"Hematologic and lymphatic";"blood";"acute_myeloid_leukemia";"Recurrence-based";"coding";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1160
1655;"DDX5";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"oncogene, fusion";"";"";"1.0";"0.0";"cancer";1161
1499;"CTNNB1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1162
1213;"CLTC";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG, fusion";"";"";"0.0";"1.0";"cancer";1163
1616;"DAXX";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1164
1655;"DDX5";29617667;"WES";"Multiple";"multiple";"pan-cancer_adult";"MutSigCV, 20/20";"coding";"oncogene, fusion";"";"";"1.0";"0.0";"cancer";1165
1499;"CTNNB1";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1166
1616;"DAXX";30107175;"WES";"Endocrine";"thyroid";"hurthle_cell_carcinoma";"MutSig2CV, Recurrence-based, Literature-based";"coding";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1167
1499;"CTNNB1";27348297;"WES";"Gynecologic";"uterus";"endometrial_cancer";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1168
1656;"DDX6";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"";"";"1.0";"0.0";"cancer";1169
1616;"DAXX";21252315;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_neuroendocrine_tumours";"Recurrence-based";"coding";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1170
1233;"CCR4";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"";"1.0";"0.0";"cancer";1171
1657;"DMXL1";30606723;"WGS";"Hematologic and lymphatic";"blood";"dlblc, follicular_lymphoma";"Paper-specific";"noncoding";"";"";"";"";"";"cancer";1172
1499;"CTNNB1";26804919;"WES";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"MutSig";"coding";"oncogene, fusion";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";1173
1616;"DAXX";25576899;"WES-Gene Panel";"Endocrine";"thyroid";"anaplastic_thyroid_carcinoma";"Recurrence-based, Literature-based";"coding";"oncogene, TSG";"TSG";"";"0.0";"1.0";"cancer";1174
1233;"CCR4";26437031;"WGS-WES-Gene Panel";"Hematologic and lymphatic";"blood";"T-cell_leukemia/lymphoma";"MutSig";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";1175
